iter	MultiClass
0	2.347655995
1	2.23178187
2	2.133841799
3	2.036773677
4	1.955690076
5	1.885418378
6	1.794719572
7	1.744569721
8	1.687429405
9	1.627526723
10	1.574460317
11	1.521983097
12	1.477785232
13	1.441685839
14	1.424063195
15	1.378816929
16	1.353065793
17	1.316249506
18	1.289586375
19	1.273496188
20	1.241287068
21	1.216191561
22	1.197321534
23	1.174520508
24	1.154156529
25	1.13311028
26	1.121096437
27	1.105562202
28	1.091077426
29	1.078812043
30	1.066152575
31	1.049559633
32	1.036196003
33	1.017900444
34	1.005138521
35	0.9929393477
36	0.9864317971
37	0.9766892879
38	0.9679402729
39	0.9589718456
40	0.9510542043
41	0.9397929473
42	0.9334050964
43	0.9231701854
44	0.9155322782
45	0.9019295216
46	0.8904354834
47	0.884758366
48	0.8689743704
49	0.863971008
