iter	Passed	Remaining
0	18	912
1	35	862
2	53	834
3	71	816
4	96	864
5	120	886
6	139	857
7	157	828
8	175	801
9	193	772
10	210	747
11	233	737
12	250	713
13	268	690
14	285	667
15	303	645
16	321	624
17	339	604
18	357	583
19	374	561
20	393	543
21	414	527
22	435	510
23	455	493
24	473	473
25	502	463
26	523	445
27	540	424
28	557	403
29	574	383
30	604	370
31	629	354
32	651	335
33	671	316
34	689	295
35	706	274
36	722	254
37	748	236
38	771	217
39	793	198
40	815	178
41	840	160
42	860	140
43	881	120
44	901	100
45	920	80
46	940	60
47	960	40
48	978	19
49	996	0
