iter	MultiClass
0	2.274827403
1	2.102932466
2	1.961149627
3	1.803792436
4	1.684707458
5	1.568321978
6	1.470041457
7	1.387203909
8	1.319550899
9	1.24654264
10	1.185941706
11	1.122458833
12	1.063856191
13	1.020259721
14	0.9796806582
15	0.9385543892
16	0.9014483788
17	0.8703901937
18	0.8363703411
19	0.8090419314
20	0.789252525
21	0.7638484425
22	0.7449387455
23	0.7227676174
24	0.7042681239
25	0.6860334775
26	0.6636569155
27	0.6432095148
28	0.6249057607
29	0.6111024685
30	0.5960104963
31	0.5830036959
32	0.5704299659
33	0.5537489252
34	0.54002236
35	0.528954857
36	0.5158134532
37	0.5057610006
38	0.497231275
39	0.4865190083
40	0.4811123562
41	0.4707371997
42	0.4612727149
43	0.4518645948
44	0.4437904384
45	0.4375186069
46	0.4295555327
47	0.4217801655
48	0.4161596262
49	0.4067112166
50	0.3990820567
51	0.3935718904
52	0.3836056395
53	0.3785552459
54	0.3726195996
55	0.367057323
56	0.3616020272
57	0.3546144751
58	0.3472756577
59	0.3422606916
60	0.3353797803
61	0.3292187797
62	0.325294265
63	0.31788808
64	0.3105998576
65	0.3072845099
66	0.3033361255
67	0.3003373497
68	0.2954807697
69	0.2898975062
70	0.288174644
71	0.2839873647
72	0.2793576455
73	0.2749030131
74	0.2714491148
75	0.2678624804
76	0.2650768311
77	0.2607333905
78	0.2553404008
79	0.252887111
80	0.2498003933
81	0.2474244964
82	0.2429897195
83	0.2389288731
84	0.2338031728
85	0.2306067382
86	0.2275830522
87	0.2229659019
88	0.2201110174
89	0.2181201903
90	0.2152726633
91	0.2131751439
92	0.2097026273
93	0.2079260968
94	0.2034463386
95	0.2019252347
96	0.1995497784
97	0.196341039
98	0.1932237806
99	0.1919852773
