iter	Passed	Remaining
0	247	24462
1	494	24252
2	743	24054
3	972	23343
4	1207	22949
5	1430	22417
6	1660	22066
7	1894	21781
8	2136	21599
9	2374	21373
10	2609	21112
11	2835	20792
12	3058	20467
13	3288	20203
14	3521	19953
15	3752	19698
16	3975	19409
17	4203	19148
18	4428	18881
19	4651	18606
20	4875	18339
21	5102	18091
22	5333	17856
23	5567	17630
24	5805	17417
25	6045	17205
26	6274	16964
27	6496	16706
28	6724	16463
29	6948	16213
30	7176	15974
31	7401	15728
32	7632	15495
33	7864	15266
34	8092	15028
35	8324	14798
36	8568	14589
37	8797	14353
38	9022	14112
39	9263	13895
40	9496	13665
41	9728	13435
42	9958	13201
43	10186	12964
44	10416	12731
45	10641	12492
46	10866	12253
47	11092	12016
48	11319	11781
49	11545	11545
50	11770	11309
51	11996	11073
52	12214	10831
53	12444	10600
54	12670	10366
55	12906	10141
56	13199	9957
57	13444	9735
58	13678	9505
59	13911	9274
60	14143	9042
61	14380	8813
62	14609	8580
63	14844	8349
64	15072	8115
65	15292	7877
66	15518	7643
67	15750	7412
68	15970	7175
69	16193	6940
70	16419	6706
71	16663	6480
72	16910	6254
73	17150	6025
74	17380	5793
75	17605	5559
76	17830	5325
77	18051	5091
78	18285	4860
79	18512	4628
80	18735	4394
81	18962	4162
82	19188	3930
83	19414	3698
84	19641	3466
85	19868	3234
86	20091	3002
87	20318	2770
88	20560	2541
89	20804	2311
90	21035	2080
91	21263	1849
92	21485	1617
93	21709	1385
94	21966	1156
95	22206	925
96	22459	694
97	22692	463
98	22937	231
99	23184	0
