NAMA,MQ135,MQ138,MQ2,MQ3,MQ6,MQ7
aSem-L,3141,1428,170,3969,275,351
aSem-L,3129,1420,169,3968,273,347
aSem-L,3106,1406,168,3953,269,338
aSem-L,3093,1397,167,3953,266,334
aSem-L,3070,1383,165,3938,262,325
aSem-L,4059,2326,234,5529,276,482
aSem-L,4046,2322,233,5529,276,480
aSem-L,4021,2311,232,5514,273,475
aSem-L,4007,2306,230,5512,272,474
aSem-L,3982,2296,229,5497,269,468
aSem-L,3907,2251,206,5263,251,463
aSem-L,3892,2247,205,5261,250,463
aSem-L,3868,2238,204,5244,248,458
aSem-L,3842,2227,202,5224,246,453
aSem-L,3817,2217,200,5207,244,448
aSem-L,3671,2067,176,5074,212,391
aSem-L,3644,2057,175,5055,211,386
aSem-L,3620,2048,174,5036,209,382
aSem-L,3606,2044,172,5032,208,382
aSem-L,3582,2035,171,5013,205,377
aSem-L,3453,1908,154,4986,184,347
aSem-L,3427,1898,153,4966,183,342
aSem-L,3403,1890,152,4947,181,338
aSem-L,3378,1880,150,4925,179,334
aSem-L,3354,1871,149,4905,177,329
aSem-L,3281,1791,139,4950,164,305
aSem-L,3266,1787,138,4944,163,306
aSem-L,3242,1779,137,4924,161,301
aSem-L,3215,1768,136,4902,159,297
aSem-L,3191,1759,135,4881,157,293
aSem-L,4219,2566,196,7437,232,513
aSem-L,4187,2553,194,7414,231,510
aSem-L,4156,2541,193,7394,229,505
aSem-L,4124,2527,191,7371,227,502
aSem-L,4094,2514,190,7350,225,498
aSem-L,4108,2397,187,6490,216,443
aSem-L,4075,2383,186,6467,215,439
aSem-L,4044,2370,184,6446,212,434
aSem-L,4012,2356,183,6422,211,430
aSem-L,3982,2342,181,6400,209,425
aSem-L,3843,2186,167,6012,192,385
aSem-L,3811,2172,166,5989,190,381
aSem-L,3781,2160,164,5968,187,376
aSem-L,3750,2146,163,5944,186,372
aSem-L,3720,2134,162,5921,183,367
aSem-L,3653,2037,152,5758,175,350
aSem-L,3622,2025,150,5734,173,345
aSem-L,3593,2013,149,5711,171,341
aSem-L,3563,2000,148,5687,170,337
aSem-L,3534,1988,147,5665,167,332
aSem-L,3437,1883,137,5552,154,313
aSem-L,3407,1871,136,5529,152,308
aSem-L,3378,1860,134,5506,150,304
aSem-L,3348,1848,133,5482,148,299
aSem-L,3320,1836,132,5461,146,294
aSem-L,3288,1772,126,5384,143,283
aSem-L,3259,1761,125,5360,141,278
aSem-L,3232,1751,124,5338,139,274
aSem-L,3203,1740,123,5314,138,270
aSem-L,3176,1729,121,5292,136,266
aSem-L,4540,2655,200,6441,410,764
aSem-L,4529,2653,199,6446,410,770
aSem-L,4505,2643,198,6433,409,772
aSem-L,4491,2638,196,6432,408,776
aSem-L,4465,2626,195,6418,406,776
aSem-L,4514,2723,248,6512,347,648
aSem-L,4486,2711,246,6495,345,646
aSem-L,4460,2700,244,6482,342,642
aSem-L,4444,2693,243,6480,341,643
aSem-L,4416,2680,240,6464,338,639
aSem-L,4071,2341,216,5544,282,507
aSem-L,4041,2328,214,5526,279,501
aSem-L,4013,2316,213,5510,277,497
aSem-L,3982,2302,210,5492,274,491
aSem-L,3954,2289,209,5474,271,486
aSem-L,3829,2131,187,5187,242,433
aSem-L,3812,2125,186,5185,241,432
aSem-L,3784,2113,184,5168,238,428
aSem-L,3754,2100,182,5149,235,423
aSem-L,3726,2088,181,5130,232,417
aSem-L,3602,1949,164,5017,206,372
aSem-L,3573,1937,162,4997,204,367
aSem-L,3546,1927,160,4980,201,361
aSem-L,3518,1915,159,4958,199,356
aSem-L,3490,1903,157,4942,196,351
aSem-L,3418,1818,146,4875,181,327
aSem-L,3402,1814,146,4871,181,327
aSem-L,3376,1804,144,4854,177,323
aSem-L,3348,1793,143,4835,176,317
aSem-L,3322,1783,141,4817,173,312
aSem-M,7344,4959,546,9354,699,779
aSem-M,7323,4957,544,9366,700,782
aSem-M,7289,4947,541,9361,700,780
aSem-M,7253,4935,539,9354,700,777
aSem-M,7219,4924,537,9349,699,775
aSem-M,6995,4481,601,7538,538,565
aSem-M,6958,4469,597,7529,537,563
aSem-M,6922,4457,594,7523,537,561
aSem-M,6885,4443,591,7515,536,558
aSem-M,6850,4431,587,7508,535,556
aSem-M,6766,4284,561,6650,472,521
aSem-M,6728,4271,558,6641,472,519
aSem-M,6692,4259,554,6635,471,517
aSem-M,6654,4245,551,6625,470,515
aSem-M,6618,4232,547,6619,469,513
aSem-M,6461,4076,507,6330,408,440
aSem-M,6423,4062,503,6321,408,438
aSem-M,6386,4050,500,6314,407,435
aSem-M,6361,4044,497,6322,407,438
aSem-M,6325,4030,494,6315,405,435
aSem-M,6152,3847,450,6127,347,340
aSem-M,6130,3843,448,6121,347,335
aSem-M,6108,3840,445,6116,347,332
aSem-M,6097,3843,444,6127,348,335
aSem-M,6073,3837,442,6121,347,333
aSem-M,5980,3736,416,6145,322,330
aSem-M,5941,3723,414,6136,322,329
aSem-M,5904,3711,411,6130,321,326
aSem-M,5878,3705,409,6137,321,329
aSem-M,5841,3692,406,6130,320,327
aSem-M,8346,5843,695,10200,784,1143
aSem-M,8303,5829,691,10193,784,1144
aSem-M,8263,5816,687,10187,784,1146
aSem-M,8220,5801,682,10180,783,1146
aSem-M,8178,5786,678,10174,782,1147
aSem-M,7095,4431,636,6759,510,629
aSem-M,7049,4413,632,6750,508,626
aSem-M,7006,4397,627,6742,505,623
aSem-M,6961,4379,622,6732,504,620
aSem-M,6917,4361,617,6723,501,617
aSem-M,6877,4296,585,6240,454,543
aSem-M,6832,4278,580,6230,452,540
aSem-M,6790,4262,576,6222,450,537
aSem-M,6746,4243,571,6212,448,533
aSem-M,6703,4226,567,6202,445,530
aSem-M,6566,4075,533,5985,401,454
aSem-M,6522,4058,529,5976,399,451
aSem-M,6480,4042,525,5967,397,448
aSem-M,6450,4032,521,5975,396,449
aSem-M,6407,4014,517,5966,393,446
aSem-M,6170,3801,467,5820,341,369
aSem-M,6126,3785,463,5809,339,366
aSem-M,6085,3770,459,5800,337,362
aSem-M,6043,3752,455,5788,335,358
aSem-M,6001,3735,452,5778,332,354
aSem-M,5880,3605,419,5784,302,319
aSem-M,5839,3590,416,5775,301,315
aSem-M,5797,3575,413,5765,298,312
aSem-M,5755,3557,409,5752,297,308
aSem-M,5715,3542,406,5743,295,304
aSem-M,8258,5138,879,9740,754,419
aSem-M,8240,5133,875,9754,754,419
aSem-M,8207,5121,870,9750,752,412
aSem-M,8170,5106,865,9742,750,405
aSem-M,8136,5092,860,9738,747,397
aSem-M,7164,4478,750,6569,625,648
aSem-M,7125,4462,744,6560,623,644
aSem-M,7088,4448,739,6553,621,639
aSem-M,7063,4439,734,6562,619,641
aSem-M,7025,4424,728,6554,617,636
aSem-M,6658,4163,628,5947,513,568
aSem-M,6618,4148,624,5937,511,564
aSem-M,6579,4133,619,5929,509,560
aSem-M,6538,4116,614,5918,507,555
aSem-M,6501,4100,609,5909,504,552
aSem-M,6255,3893,539,5786,416,425
aSem-M,6213,3876,534,5775,415,420
aSem-M,6175,3862,530,5766,412,417
aSem-M,6134,3844,526,5754,410,412
aSem-M,6096,3829,522,5744,408,408
aSem-M,5873,3658,464,5759,353,344
aSem-M,5846,3650,461,5765,352,345
aSem-M,5808,3635,457,5756,350,341
aSem-M,5769,3619,453,5744,349,337
aSem-M,5731,3604,450,5733,346,333
aSem-M,5590,3472,411,5833,303,290
aSem-M,5550,3456,408,5820,301,285
aSem-M,5512,3442,405,5810,299,281
aSem-M,5472,3426,402,5797,298,277
aSem-M,5435,3410,399,5786,295,272
aSem-D,4750,2368,324,2963,235,103
aSem-D,4740,2367,322,2975,234,101
aSem-D,4716,2359,319,2970,232,94
aSem-D,4691,2350,316,2963,230,86
aSem-D,4666,2341,313,2956,228,78
aSem-D,4684,2536,310,3063,196,200
aSem-D,4659,2528,308,3055,195,194
aSem-D,4636,2522,306,3049,194,189
aSem-D,4624,2521,304,3059,193,189
aSem-D,4600,2513,302,3052,192,183
aSem-D,4667,2607,287,3262,161,186
aSem-D,4655,2607,286,3272,161,186
aSem-D,4630,2600,284,3265,159,181
aSem-D,4604,2592,282,3255,158,176
aSem-D,4580,2584,280,3247,156,171
aSem-D,4686,2668,271,3515,144,165
aSem-D,4673,2668,270,3524,144,165
aSem-D,4648,2662,269,3516,142,161
aSem-D,4622,2654,267,3506,142,157
aSem-D,4599,2647,265,3499,141,152
aSem-D,4638,2661,253,3701,128,143
aSem-D,4611,2654,252,3692,127,140
aSem-D,4586,2647,250,3683,126,136
aSem-D,4572,2646,249,3692,126,136
aSem-D,4546,2639,248,3684,125,132
aSem-D,4611,2654,240,3865,117,122
aSem-D,4584,2647,239,3855,117,118
aSem-D,4558,2640,237,3847,116,115
aSem-D,4531,2632,236,3837,115,111
aSem-D,4505,2625,235,3828,114,108
aSem-D,6031,3594,302,5612,299,474
aSem-D,6013,3594,300,5621,299,476
aSem-D,5982,3587,299,5614,298,474
aSem-D,5949,3577,297,5604,297,472
aSem-D,5918,3568,296,5596,296,469
aSem-D,5851,3510,345,5349,186,256
aSem-D,5818,3499,343,5339,185,252
aSem-D,5784,3489,341,5329,184,249
aSem-D,5749,3477,339,5318,183,245
aSem-D,5716,3466,336,5309,181,241
aSem-D,5527,3305,322,4935,161,222
aSem-D,5493,3294,319,4924,161,219
aSem-D,5461,3285,318,4915,159,215
aSem-D,5428,3274,315,4903,158,212
aSem-D,5396,3263,313,4893,156,209
aSem-D,5388,3204,302,4902,145,177
aSem-D,5369,3201,300,4908,145,178
aSem-D,5339,3193,298,4900,144,175
aSem-D,5306,3182,296,4888,143,173
aSem-D,5276,3173,294,4876,143,170
aSem-D,5120,3037,278,4918,112,108
aSem-D,5087,3027,276,4906,112,104
aSem-D,5056,3018,274,4896,110,101
aSem-D,5023,3006,272,4884,109,97
aSem-D,4992,2996,270,4874,107,93
aSem-D,5099,3013,266,4943,122,134
aSem-D,5066,3004,264,4931,121,132
aSem-D,5035,2994,262,4921,120,128
aSem-D,5014,2990,261,4926,119,128
aSem-D,4983,2979,259,4915,118,125
aSem-D,6119,3868,302,6336,287,509
aSem-D,6084,3860,301,6327,287,508
aSem-D,6050,3853,299,6318,286,507
aSem-D,6013,3843,298,6308,285,506
aSem-D,5978,3834,296,6299,285,505
aSem-D,6327,3863,375,6162,187,265
aSem-D,6290,3852,373,6151,187,262
aSem-D,6254,3841,371,6142,185,259
aSem-D,6215,3828,368,6130,184,256
aSem-D,6179,3816,366,6120,183,253
