NAMA,MQ135,MQ2,MQ3,MQ6,MQ138,MQ7
aKaw-D,7014,322,8758,325,4345,596
aKaw-D,5625,288,5786,135,3246,174
aKaw-D,5587,286,5775,135,3236,171
aKaw-D,5551,284,5765,133,3225,168
aKaw-D,5514,282,5751,132,3214,165
aKaw-D,5477,280,5740,131,3202,162
aKaw-D,5254,280,4873,286,2828,271
aKaw-D,5244,279,4880,285,2830,269
aKaw-D,5219,278,4870,283,2824,261
aKaw-D,5552,295,5780,131,3260,165
aKaw-D,5208,277,4876,282,2824,259
aKaw-D,5861,391,6344,227,3611,287
aKaw-D,5844,389,6353,226,3611,286
aKaw-D,5815,388,6345,224,3604,282
aKaw-D,5784,385,6336,223,3594,276
aKaw-D,5753,383,6328,221,3585,271
aKaw-D,5695,373,5783,203,3461,274
aKaw-D,5661,371,5773,202,3451,269
aKaw-D,5629,368,5764,200,3442,265
aKaw-D,5183,275,4865,279,2817,252
aKaw-D,5588,297,5791,133,3272,168
aKaw-D,5627,300,5805,135,3285,171
aKaw-D,5664,302,5815,136,3296,175
aKaw-D,6958,319,8757,324,4339,600
aKaw-D,6922,318,8746,324,4331,600
aKaw-D,6887,316,8736,323,4322,599
aKaw-D,6489,377,7225,223,3920,389
aKaw-D,6463,376,7231,222,3916,390
aKaw-D,6424,373,7221,221,3904,387
aKaw-D,6383,371,7209,219,3891,385
aKaw-D,6345,368,7200,217,3879,382
aKaw-D,6167,357,6260,194,3633,317
aKaw-D,6127,354,6248,194,3620,314
aKaw-D,6090,352,6238,192,3608,311
aKaw-D,6050,349,6225,191,3594,309
aKaw-D,6012,347,6214,189,3581,306
aKaw-D,5936,329,5954,166,3465,250
aKaw-D,5910,327,5960,166,3461,251
aKaw-D,5872,325,5947,164,3449,248
aKaw-D,5833,322,5936,163,3435,244
aKaw-D,5795,320,5924,161,3422,241
aKaw-D,5702,304,5827,137,3308,178
aKaw-D,5611,366,5770,200,3439,265
aKaw-D,6993,321,8765,325,4346,601
aKaw-D,5580,364,5761,198,3429,260
aKaw-D,5557,346,5605,171,3368,216
aKaw-D,4989,169,4382,48,2777,76
aKaw-D,4960,169,4372,47,2772,73
aKaw-D,4932,168,4363,46,2768,70
aKaw-D,4903,167,4352,44,2761,67
aKaw-D,4874,167,4342,43,2755,64
aKaw-D,4749,157,4255,40,2609,64
aKaw-D,4719,156,4243,38,2602,60
aKaw-D,4692,156,4233,36,2598,57
aKaw-D,4979,174,4594,41,2864,54
aKaw-D,4675,155,4238,36,2598,56
aKaw-D,4420,140,4213,19,2389,33
aKaw-D,4392,139,4201,18,2383,29
aKaw-D,4365,138,4191,16,2379,26
aKaw-D,4336,138,4177,15,2372,22
aKaw-D,4309,137,4167,13,2366,18
aKaw-D,4418,136,4256,18,2385,27
aKaw-D,4390,135,4245,17,2381,24
aKaw-D,4364,135,4235,15,2376,21
aKaw-D,4647,155,4227,34,2592,53
aKaw-D,5007,175,4605,43,2870,58
aKaw-D,5037,176,4618,44,2877,62
aKaw-D,5064,176,4628,46,2880,66
aKaw-D,5525,344,5595,169,3359,211
aKaw-D,5505,342,5601,168,3355,212
aKaw-D,5474,340,5591,167,3345,207
aKaw-D,5464,321,5519,154,3274,188
aKaw-D,5444,319,5526,154,3272,188
aKaw-D,5411,317,5517,152,3262,184
aKaw-D,5377,315,5505,152,3251,180
aKaw-D,5345,313,5495,149,3241,176
aKaw-D,5276,293,5483,134,3140,152
aKaw-D,5255,292,5489,133,3136,152
aKaw-D,5222,290,5478,132,3127,148
aKaw-D,5188,288,5466,130,3116,145
aKaw-D,5156,286,5456,129,3105,141
aKaw-D,5345,180,5321,40,3181,79
aKaw-D,5322,180,5310,39,3182,75
aKaw-D,5299,179,5302,37,3183,71
aKaw-D,5276,179,5292,36,3183,68
aKaw-D,5254,178,5283,34,3183,64
aKaw-D,5093,177,4639,48,2885,70
aKaw-D,5590,348,5616,172,3378,220
aKaw-D,4309,134,4212,12,2365,14
aKaw-D,4335,134,4223,14,2371,17
aKaw-L,3494,137,5570,132,1914,246
aKaw-L,3636,155,5511,138,2051,239
aKaw-L,3607,154,5493,137,2040,236
aKaw-L,3579,153,5475,135,2031,233
aKaw-L,3510,142,5439,125,1938,216
aKaw-L,3482,141,5421,124,1929,214
aKaw-L,3455,140,5404,122,1921,211
aKaw-L,3438,139,5401,122,1917,212
aKaw-L,3411,138,5385,121,1908,209
aKaw-L,3957,158,6658,236,2470,508
aKaw-L,3926,157,6640,236,2460,508
aKaw-L,3897,156,6624,235,2452,509
aKaw-L,3878,155,6623,236,2448,512
aKaw-L,3849,154,6606,235,2440,512
aKaw-L,4107,181,6734,171,2414,347
aKaw-L,4073,179,6715,170,2402,345
aKaw-L,4041,178,6698,168,2391,342
aKaw-L,4008,177,6678,168,2378,339
aKaw-L,3977,175,6660,166,2367,337
aKaw-L,3637,157,6047,133,2079,262
aKaw-L,3663,157,5528,139,2060,242
aKaw-L,3604,156,6027,131,2067,258
aKaw-L,3693,158,5545,140,2070,245
aKaw-L,3793,174,5633,152,2186,261
aKaw-L,3476,136,5566,132,1909,246
aKaw-L,4617,239,6695,307,2798,568
aKaw-L,4586,237,6682,307,2785,567
aKaw-L,4556,235,6670,306,2773,567
aKaw-L,4536,233,6672,306,2766,571
aKaw-L,4506,232,6659,305,2753,570
aKaw-L,4302,237,6359,194,2606,356
aKaw-L,4282,235,6361,193,2599,357
aKaw-L,4250,233,6347,191,2586,354
aKaw-L,4217,231,6331,190,2572,350
aKaw-L,4186,229,6317,188,2558,347
aKaw-L,4058,203,5837,172,2375,306
aKaw-L,4027,202,5821,171,2362,303
aKaw-L,3997,200,5805,169,2351,300
aKaw-L,3965,198,5787,168,2338,297
aKaw-L,3936,197,5771,166,2326,294
aKaw-L,3870,178,5669,155,2213,267
aKaw-L,3840,177,5652,154,2202,264
aKaw-L,3811,175,5635,152,2192,261
aKaw-L,3765,173,5617,150,2176,258
aKaw-L,3448,135,5547,130,1899,243
aKaw-L,3521,138,5588,134,1923,250
aKaw-L,3542,153,5989,128,2043,251
aKaw-L,4443,231,6919,230,2723,461
aKaw-L,4410,229,6904,229,2709,458
aKaw-L,4379,227,6889,227,2696,455
aKaw-L,4117,201,6128,187,2400,358
aKaw-L,4084,199,6111,185,2387,355
aKaw-L,4053,197,6095,183,2375,351
aKaw-L,4033,196,6094,183,2368,352
aKaw-L,4002,195,6077,181,2356,348
aKaw-L,3918,176,5901,165,2218,309
aKaw-L,3886,175,5882,163,2207,306
aKaw-L,3857,173,5866,162,2196,302
aKaw-L,3825,172,5846,161,2183,299
aKaw-L,3796,171,5830,159,2172,295
aKaw-L,3710,154,5714,146,2051,271
aKaw-L,3691,153,5711,145,2046,271
aKaw-L,3661,152,5693,143,2037,268
aKaw-L,3631,150,5674,142,2025,264
aKaw-L,3602,149,5656,140,2015,260
aKaw-L,3553,139,5608,135,1933,254
aKaw-L,4474,233,6934,232,2735,464
aKaw-L,3573,155,6008,130,2056,255
aKaw-L,4495,234,6933,233,2741,463
aKaw-L,4680,213,7523,317,2821,594
aKaw-L,3511,152,5969,126,2031,248
aKaw-L,3544,144,5835,125,1969,235
aKaw-L,3513,142,5815,124,1958,232
aKaw-L,3483,141,5796,122,1947,229
aKaw-L,3452,140,5776,121,1935,225
aKaw-L,3422,139,5757,120,1924,221
aKaw-L,3391,132,5694,117,1855,218
aKaw-L,3361,131,5675,117,1845,215
aKaw-L,3332,129,5656,115,1836,212
aKaw-L,3302,128,5636,114,1825,208
aKaw-L,3275,127,5617,112,1815,204
aKaw-L,3298,124,5565,112,1777,203
aKaw-L,3268,123,5545,111,1768,200
aKaw-L,3241,122,5528,109,1760,197
aKaw-L,3222,121,5523,109,1755,197
aKaw-L,3195,120,5504,107,1746,193
aKaw-L,4752,218,7546,318,2844,590
aKaw-L,4724,216,7533,318,2834,591
aKaw-L,4697,215,7521,317,2825,590
aKaw-L,4653,212,7510,316,2811,594
aKaw-M,7489,787,7699,830,4662,1014
aKaw-M,7474,783,7712,830,4657,1015
aKaw-M,5345,376,5710,303,3432,347
aKaw-M,6320,535,8125,862,4009,878
aKaw-M,6357,538,8133,864,4025,884
aKaw-M,6380,541,8123,864,4034,884
aKaw-M,6417,544,8130,866,4049,889
aKaw-M,6454,547,8139,867,4065,894
aKaw-M,5327,373,5573,330,3353,336
aKaw-M,5363,376,5584,332,3368,340
aKaw-M,5400,379,5595,333,3383,343
aKaw-M,6360,603,6747,552,4194,627
aKaw-M,5436,381,5605,335,3396,346
aKaw-M,5331,395,5367,346,3335,319
aKaw-M,5366,398,5376,349,3350,323
aKaw-M,5404,401,5388,350,3366,327
aKaw-M,5438,404,5398,352,3379,330
aKaw-M,5475,407,5408,354,3394,335
aKaw-M,4731,405,3958,306,2646,75
aKaw-M,4768,408,3971,309,2663,82
aKaw-M,4804,412,3982,311,2681,89
aKaw-M,5460,383,5597,335,3402,344
aKaw-M,4840,415,3993,314,2697,95
aKaw-M,6323,599,6739,551,4180,623
aKaw-M,6264,591,6740,549,4158,622
aKaw-M,5454,384,5742,306,3477,355
aKaw-M,5494,387,5755,306,3492,357
aKaw-M,5599,419,5719,343,3627,405
aKaw-M,5636,422,5728,344,3642,407
aKaw-M,5675,426,5740,345,3658,409
aKaw-M,5712,428,5748,346,3671,412
aKaw-M,5751,431,5759,347,3686,415
aKaw-M,5803,465,5723,393,3773,479
aKaw-M,6286,595,6731,549,4166,620
