NAMA,MQ135,MQ138,MQ136,MQ2,MQ3,MQ6,MQ5,MQ7
aSem-L,3141,1428,2586,170,3969,275,224,351
aSem-L,3129,1420,2572,169,3968,273,227,347
aSem-L,3106,1406,2548,168,3953,269,227,338
aSem-L,3093,1397,2535,167,3953,266,231,334
aSem-L,3070,1383,2512,165,3938,262,231,325
aSem-L,4059,2326,3634,234,5529,276,176,482
aSem-L,4046,2322,3623,233,5529,276,180,480
aSem-L,4021,2311,3599,232,5514,273,181,475
aSem-L,4007,2306,3587,230,5512,272,185,474
aSem-L,3982,2296,3565,229,5497,269,185,468
aSem-L,3907,2251,3443,206,5263,251,156,463
aSem-L,3892,2247,3432,205,5261,250,160,463
aSem-L,3868,2238,3410,204,5244,248,160,458
aSem-L,3842,2227,3387,202,5224,246,160,453
aSem-L,3817,2217,3365,200,5207,244,161,448
aSem-L,3671,2067,3133,176,5074,212,128,391
aSem-L,3644,2057,3111,175,5055,211,127,386
aSem-L,3620,2048,3089,174,5036,209,127,382
aSem-L,3606,2044,3080,172,5032,208,131,382
aSem-L,3582,2035,3058,171,5013,205,131,377
aSem-L,3453,1908,2870,154,4986,184,117,347
aSem-L,3427,1898,2848,153,4966,183,116,342
aSem-L,3403,1890,2828,152,4947,181,116,338
aSem-L,3378,1880,2806,150,4925,179,115,334
aSem-L,3354,1871,2786,149,4905,177,116,329
aSem-L,3281,1791,2671,139,4950,164,98,305
aSem-L,3266,1787,2662,138,4944,163,102,306
aSem-L,3242,1779,2642,137,4924,161,102,301
aSem-L,3215,1768,2620,136,4902,159,101,297
aSem-L,3191,1759,2601,135,4881,157,101,293
aSem-L,4219,2566,3597,196,7437,232,176,513
aSem-L,4187,2553,3569,194,7414,231,176,510
aSem-L,4156,2541,3543,193,7394,229,177,505
aSem-L,4124,2527,3515,191,7371,227,177,502
aSem-L,4094,2514,3489,190,7350,225,177,498
aSem-L,4108,2397,3443,187,6490,216,144,443
aSem-L,4075,2383,3414,186,6467,215,143,439
aSem-L,4044,2370,3387,184,6446,212,143,434
aSem-L,4012,2356,3359,183,6422,211,143,430
aSem-L,3982,2342,3332,181,6400,209,143,425
aSem-L,3843,2186,3156,167,6012,192,117,385
aSem-L,3811,2172,3128,166,5989,190,117,381
aSem-L,3781,2160,3103,164,5968,187,117,376
aSem-L,3750,2146,3075,163,5944,186,116,372
aSem-L,3720,2134,3049,162,5921,183,116,367
aSem-L,3653,2037,2949,152,5758,175,103,350
aSem-L,3622,2025,2923,150,5734,173,102,345
aSem-L,3593,2013,2899,149,5711,171,103,341
aSem-L,3563,2000,2872,148,5687,170,101,337
aSem-L,3534,1988,2847,147,5665,167,102,332
aSem-L,3437,1883,2730,137,5552,154,98,313
aSem-L,3407,1871,2704,136,5529,152,97,308
aSem-L,3378,1860,2680,134,5506,150,97,304
aSem-L,3348,1848,2655,133,5482,148,96,299
aSem-L,3320,1836,2632,132,5461,146,97,294
aSem-L,3288,1772,2577,126,5384,143,85,283
aSem-L,3259,1761,2553,125,5360,141,84,278
aSem-L,3232,1751,2531,124,5338,139,85,274
aSem-L,3203,1740,2506,123,5314,138,84,270
aSem-L,3176,1729,2485,121,5292,136,84,266
aSem-L,4540,2655,4124,200,6441,410,275,764
aSem-L,4529,2653,4115,199,6446,410,281,770
aSem-L,4505,2643,4092,198,6433,409,282,772
aSem-L,4491,2638,4078,196,6432,408,287,776
aSem-L,4465,2626,4053,195,6418,406,288,776
aSem-L,4514,2723,4189,248,6512,347,190,648
aSem-L,4486,2711,4161,246,6495,345,190,646
aSem-L,4460,2700,4135,244,6482,342,192,642
aSem-L,4444,2693,4118,243,6480,341,195,643
aSem-L,4416,2680,4090,240,6464,338,196,639
aSem-L,4071,2341,3656,216,5544,282,139,507
aSem-L,4041,2328,3627,214,5526,279,139,501
aSem-L,4013,2316,3599,213,5510,277,140,497
aSem-L,3982,2302,3569,210,5492,274,139,491
aSem-L,3954,2289,3541,209,5474,271,139,486
aSem-L,3829,2131,3314,187,5187,242,111,433
aSem-L,3812,2125,3299,186,5185,241,115,432
aSem-L,3784,2113,3272,184,5168,238,116,428
aSem-L,3754,2100,3243,182,5149,235,115,423
aSem-L,3726,2088,3216,181,5130,232,115,417
aSem-L,3602,1949,3023,164,5017,206,95,372
aSem-L,3573,1937,2995,162,4997,204,94,367
aSem-L,3546,1927,2970,160,4980,201,95,361
aSem-L,3518,1915,2943,159,4958,199,94,356
aSem-L,3490,1903,2918,157,4942,196,94,351
aSem-L,3418,1818,2799,146,4875,181,78,327
aSem-L,3402,1814,2786,146,4871,181,81,327
aSem-L,3376,1804,2762,144,4854,177,81,323
aSem-L,3348,1793,2736,143,4835,176,80,317
aSem-L,3322,1783,2713,141,4817,173,81,312
aSem-M,7344,4959,6945,546,9354,699,301,779
aSem-M,7323,4957,6927,544,9366,700,306,782
aSem-M,7289,4947,6898,541,9361,700,308,780
aSem-M,7253,4935,6865,539,9354,700,309,777
aSem-M,7219,4924,6835,537,9349,699,311,775
aSem-M,6995,4481,6610,601,7538,538,206,565
aSem-M,6958,4469,6576,597,7529,537,206,563
aSem-M,6922,4457,6543,594,7523,537,207,561
aSem-M,6885,4443,6509,591,7515,536,208,558
aSem-M,6850,4431,6476,587,7508,535,209,556
aSem-M,6766,4284,6294,561,6650,472,160,521
aSem-M,6728,4271,6258,558,6641,472,160,519
aSem-M,6692,4259,6226,554,6635,471,161,517
aSem-M,6654,4245,6191,551,6625,470,162,515
aSem-M,6618,4232,6157,547,6619,469,163,513
aSem-M,6461,4076,5906,507,6330,408,133,440
aSem-M,6423,4062,5871,503,6321,408,133,438
aSem-M,6386,4050,5838,500,6314,407,134,435
aSem-M,6361,4044,5816,497,6322,407,139,438
aSem-M,6325,4030,5784,494,6315,405,140,435
aSem-M,6152,3847,5521,450,6127,347,89,340
aSem-M,6130,3843,5504,448,6121,347,89,335
aSem-M,6108,3840,5488,445,6116,347,90,332
aSem-M,6097,3843,5482,444,6127,348,95,335
aSem-M,6073,3837,5463,442,6121,347,96,333
aSem-M,5980,3736,5324,416,6145,322,106,330
aSem-M,5941,3723,5290,414,6136,322,107,329
aSem-M,5904,3711,5257,411,6130,321,108,326
aSem-M,5878,3705,5235,409,6137,321,112,329
aSem-M,5841,3692,5202,406,6130,320,113,327
aSem-M,8346,5843,8119,695,10200,784,360,1143
aSem-M,8303,5829,8076,691,10193,784,361,1144
aSem-M,8263,5816,8036,687,10187,784,363,1146
aSem-M,8220,5801,7992,682,10180,783,364,1146
aSem-M,8178,5786,7951,678,10174,782,366,1147
aSem-M,7095,4431,6696,636,6759,510,176,629
aSem-M,7049,4413,6652,632,6750,508,176,626
aSem-M,7006,4397,6610,627,6742,505,177,623
aSem-M,6961,4379,6565,622,6732,504,178,620
aSem-M,6917,4361,6522,617,6723,501,179,617
aSem-M,6877,4296,6369,585,6240,454,136,543
aSem-M,6832,4278,6325,580,6230,452,136,540
aSem-M,6790,4262,6283,576,6222,450,137,537
aSem-M,6746,4243,6240,571,6212,448,137,533
aSem-M,6703,4226,6198,567,6202,445,138,530
aSem-M,6566,4075,5987,533,5985,401,114,454
aSem-M,6522,4058,5945,529,5976,399,114,451
aSem-M,6480,4042,5905,525,5967,397,115,448
aSem-M,6450,4032,5876,521,5975,396,119,449
aSem-M,6407,4014,5836,517,5966,393,120,446
aSem-M,6170,3801,5519,467,5820,341,99,369
aSem-M,6126,3785,5477,463,5809,339,99,366
aSem-M,6085,3770,5439,459,5800,337,100,362
aSem-M,6043,3752,5397,455,5788,335,99,358
aSem-M,6001,3735,5358,452,5778,332,100,354
aSem-M,5880,3605,5176,419,5784,302,92,319
aSem-M,5839,3590,5137,416,5775,301,92,315
aSem-M,5797,3575,5100,413,5765,298,92,312
aSem-M,5755,3557,5061,409,5752,297,92,308
aSem-M,5715,3542,5023,406,5743,295,92,304
